section id,recording id,recording name,wearer id,wearer name,section start time [ns],section end time [ns],start event name,end event name,id ,condition ,episode
1f482903-dbce-4076-8e2e-430c9a6e7d0f,476801e6-64ec-4137-83c2-7f2728539532,Study013,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,3,H2,4
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,Study019,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,18,H2,2
b9bac69e-fbcf-40e7-94ac-2a654cff3e62,5f149a1b-884b-4487-99ef-17eb43df087f,Study022,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,20,L1,3
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,Study023,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,20,H2,2
ef928536-0d89-49e2-8387-184f6bb7c253,a9975220-6b2e-441b-bcd9-d3cee677507b,Study033,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,1,H2,4
bebe9bde-c8e0-4156-8190-6de0df41c520,d7f59bac-13d4-4d40-a643-0a54ac43e38e,Study026,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,2,H1,3
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,Study027,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,2,L2,2
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,Study035,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,1,L2,2
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,Study030,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,15,L1,3
ef2168ab-6a26-44f0-8a4f-7ddeb7a0b94f,de5f1856-a92f-4759-90fb-25d193b6ea9c,Study032,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,15,H1,1
8ba688cb-8dcf-4c16-85fe-5e5b37c03ded,c3566b04-6932-43b5-b7bd-a2ade9583445,Study034,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,1,H1,3
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,Study037,f72e9cf0-0224-4d91-aa90-7b913ec903bb,Glasses study ,1.70E+18,1.70E+18,recording.begin,recording.end,9,H2,4
